SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Elementary Indicators,,,,,,,,,,PSAT and SAT  Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School Graduation Indicators,,,,,,,,,College and Career Readiness Indiciators,,,,,,,,,Other High School Indicators,,,,,,,,
School ID,School Name,Network ,Elementary SQRP Points Earned,Elementary Percent of Student Population,High School SQRP Points Earned,High School Percent of Student Population,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,PSAT09 Cohort Growth Percentile,,,,PSAT10 EBRW Annual Growth Percentile,,,,PSAT10 MATH Annual Growth Percentile,,,,SAT11 EBRW Annual Growth Percentile,,,,SAT11 MATH Annual Growth Percentile,,,,SAT11 Cohort Growth Percentile,,,,"SAT11 African-American
 Cohort Growth  Percentile ",,,,"SAT11 Hispanic
 Cohort Growth  Percentile ",,,,"SAT11 English Learner
 Cohort Growth  Percentile ",,,,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",,,,Percent Meeting College Readiness Benchmarks,,,,Freshmen On-Track Rate,,,4-Year Cohort Graduation Rate,,,1-Year Dropout Rate,,,College Enrollment Rate,,,College Persistence Rate,,,% Earning Early College and Career Credentials,,,Average Daily Attendance Rate,,,"My Voice, My School 5 Essentials Survey ",,,Data Quality Index Score,,
,,,,,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400033,CICS - LONGWOOD,Charter,2.1,66.8%,2.2,33.2%,2.1,Level 2,Not Applicable,25,99,2,17.5,23,99,2,17.5,44.5,99,2,10,25,99,2,1.25,.,.,.,.,.,.,.,.,1,100,1,1.25,23,99,2,1.25,.,.,.,.,.,.,.,.,3,99,1,1.25,28,99,2,7.5,22,99,2,7.5,.,.,.,.,.,.,.,.,.,.,.,.,93.6,2,20,Partially Organized,2,10,99.8,5,5,25,99,2,3.33,66,98,3,1.67,31,98,2,1.67,12,100,2,1.67,37,100,2,1.67,3,100,1,17.5,3,100,1,2.5,.,.,.,.,.,.,.,.,.,.,.,.,9.6,99,1,10,55.9,1,10,79.6,4,10,0.5,5,5,48.6,2,5,58.3,2,5,10.3,2,5,88.6,3,10,Partially Organized,2,5,99.8,5,5
400035,CHICAGO MATH & SCIENCE HS,Charter,3.6,40.9%,3.9,59.1%,3.8,Level 1,Not Applicable,36,99,2,15,83,99,4,15,58,99,3,10,70,99,5,1.25,24,100,2,1.25,.,.,.,.,.,.,.,.,87,99,5,1.25,77,100,5,1.25,.,.,.,.,.,.,.,.,50,99,3,7.5,68,99,3,7.5,.,.,.,.,.,.,.,.,23.5,99,1,5,97,5,20,Organized,4,10,99.8,5,5,88,95,4,3.33,50,98,3,1.67,12,98,2,1.67,50,100,3,1.67,96,100,5,1.67,73,100,4,17.5,.,.,.,.,54,100,4,2.5,.,.,.,.,.,.,.,.,53.7,97,3,10,62.5,2,10,92,5,10,5.5,3,5,70.2,4,5,83.6,4,5,43.2,5,5,95.2,5,10,Organized,4,5,99.8,5,5
400036,CHICAGO VIRTUAL,Charter,2.2,70.1%,2,29.9%,2.1,Level 2,Not Applicable,62,98,3,13.75,16,98,2,13.75,49.1,98,2,10,52,99,4,1.25,78,98,5,1.25,.,.,.,.,40,98,3,1.25,12,99,2,1.25,28,98,2,1.25,.,.,.,.,3,98,1,1.25,55,98,3,5,17,98,2,5,10,95,2,2.5,5,97,1,2.5,35,95,3,5,91.2,1,20,Partially Organized,2,10,99.7,5,5,44,95,3,3.33,27,95,2,1.67,5,95,1,1.67,17,95,2,1.67,22,95,2,1.67,28,95,2,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32.8,84,1,10,52.9,1,10,44.1,1,10,7,2,5,50,2,5,81.8,4,5,28.6,3,5,81.5,2,10,Partially Organized,2,5,99.7,5,5
400052,NOBLE - COMER,Charter,3.5,26.4%,3.6,73.6%,3.6,Level 1,Not Applicable,56,99,3,17.5,77,100,4,17.5,59.3,100,3,10,56,99,4,1.25,.,.,.,.,.,.,.,.,62,99,4,1.25,76,100,5,1.25,.,.,.,.,.,.,.,.,66,100,4,1.25,63,99,3,7.5,54,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,94.9,3,20,Well Organized,5,10,99.9,5,5,96,97,5,3.33,66,98,3,1.67,50,98,3,1.67,33,100,2,1.67,22,100,2,1.67,44,100,3,17.5,44,100,3,2.5,.,.,.,.,.,.,.,.,.,.,.,.,38.2,98,2,10,83,4,10,85.3,5,10,2.5,4,5,86.4,5,5,81.5,4,5,17.3,2,5,93.1,4,10,Organized,4,5,99.9,5,5
400061,PERSPECTIVES - LEADERSHIP HS,Charter,3.1,31.0%,3.1,69.0%,3.1,Level 2+,Not Applicable,78,99,4,18.75,40,100,3,18.75,58.5,100,3,10,78,99,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,40,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,54,99,3,7.5,25,100,2,7.5,.,.,.,.,.,.,.,.,.,.,.,.,93.8,2,20,Organized,4,10,99.9,5,5,63,100,3,3.33,68,97,3,1.67,16,97,2,1.67,11,100,2,1.67,50,100,3,1.67,1,100,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.9,99,1,10,96.7,5,10,75.5,4,10,1.6,5,5,60.5,3,5,61.5,2,5,43,5,5,92.8,4,10,Organized,4,5,99.9,5,5
400064,PERSPECTIVES - JOSLIN HS,Charter,3.4,26.4%,3.2,73.6%,3.3,Level 2+,Not Applicable,87,99,4,18.75,53,100,3,18.75,62.5,100,4,10,88,99,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,60,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,67,99,3,7.5,32,100,2,7.5,.,.,.,.,.,.,.,.,.,.,.,.,95.7,4,20,Not Yet Organized,1,10,99.9,5,5,54,99,3,3.33,66,98,3,1.67,50,98,3,1.67,20,100,2,1.67,50,100,3,1.67,27,100,2,17.5,28,100,2,2.5,.,.,.,.,.,.,.,.,.,.,.,.,13.8,99,1,10,96.1,5,10,96.2,5,10,3.2,4,5,80.7,5,5,73.8,3,5,29.3,3,5,94.3,4,10,Not Yet Organized,1,5,99.9,5,5
400066,PERSPECTIVES - MATH & SCI HS,Charter,2.4,11.5%,2.6,88.5%,2.6,Level 2,Not Applicable,52,100,3,18.75,31,100,2,18.75,52.9,100,3,10,54,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,31,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,52,100,3,7.5,32,100,2,7.5,.,.,.,.,.,.,.,.,.,.,.,.,91.9,1,20,Partially Organized,2,10,99.9,5,5,58,95,3,3.33,66,97,3,1.67,31,97,2,1.67,34,99,2,1.67,50,99,3,1.67,8,99,1,17.5,7,99,1,2.5,.,.,.,.,.,.,.,.,.,.,.,.,16,96,1,10,70.8,3,10,87.2,5,10,4.6,3,5,59.7,3,5,59.7,2,5,31.8,4,5,89.9,3,10,Partially Organized,2,5,99.9,5,5
400077,U OF C - WOODLAWN HS,Charter,3.6,36.2%,3.1,63.8%,3.3,Level 2+,Not Applicable,81,100,4,18.75,32,100,2,18.75,56.8,100,3,10,78,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,32,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,73,100,4,7.5,53,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,96.4,5,20,Moderately Organized,3,10,99.9,5,5,71,100,4,3.33,66,98,3,1.67,16,98,2,1.67,34,99,2,1.67,50,99,3,1.67,28,99,2,17.5,28,99,2,2.5,.,.,.,.,.,.,.,.,.,.,.,.,18,99,1,10,77.8,3,10,92.8,5,10,2.8,4,5,74.4,4,5,70.4,3,5,21.6,3,5,93.2,4,10,Moderately Organized,3,5,99.9,5,5
400115,CATALYST - MARIA,Charter,3.9,50.0%,3.5,50.0%,3.7,Level 1,Not Applicable,62,100,3,12.5,75,100,4,12.5,62.8,100,4,10,48,100,3,1.25,71,100,5,1.25,73,100,5,1.25,22,100,2,1.25,60,100,4,1.25,85,100,5,1.25,60,100,4,1.25,50,100,4,1.25,49,100,3,5,37,100,2,5,60,100,3,2.5,65,100,3,2.5,17.3,99,1,5,96.3,5,20,Well Organized,5,10,99.9,5,5,82,97,4,3.33,66,97,3,1.67,16,97,2,1.67,50,99,3,1.67,50,99,3,1.67,21,99,2,15,23,99,2,2.5,19,99,2,2.5,.,.,.,.,.,.,.,.,22.9,97,2,10,96.2,5,10,84.7,4,10,1,5,5,68.5,4,5,79.8,4,5,16.4,2,5,95.1,5,10,Organized,4,5,99.9,5,5
