SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,,PSAT and SAT  Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School Graduation Indicators,,,,,,,,,College and Career Readiness Indiciators,,,,,,,,,Other Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,PSAT09 Cohort Growth Percentile,,,,PSAT10 EBRW Annual Growth Percentile,,,,PSAT10 MATH Annual Growth Percentile,,,,SAT11 EBRW Annual Growth Percentile,,,,SAT11 MATH Annual Growth Percentile,,,,SAT11 Cohort Growth Percentile,,,,"SAT11 African-American
 Cohort Growth  Percentile ",,,,"SAT11 Hispanic
 Cohort Growth  Percentile ",,,,"SAT11 English Learner
 Cohort Growth  Percentile ",,,,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",,,,Percent Meeting College Readiness Benchmarks,,,,Freshmen On-Track Rate,,,4-Year Cohort Graduation Rate,,,1-Year Dropout Rate,,,College Enrollment Rate,,,College Persistence Rate,,,% Earning Early College and Career Credentials,,,Average Daily Attendance Rate,,,"My Voice, My School 5 Essentials Survey ",,,Data Quality Index Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400013,ASPIRA - EARLY COLLEGE HS,Charter,3.2,Level 2+,Not Applicable,66,99,3,3.33,80,100,4,1.67,16,100,2,1.67,50,100,3,1.67,50,100,3,1.67,37,100,2,17.5,,,,,37,100,3,2.5,,,,,,,,,16.8,100,1,10,92,5,10,66.3,3,10,5.9,3,5,59,3,5,64,2,5,41.3,5,5,92.6,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400022,CHIARTS HS,Contract,3.6,Level 1,Good Standing,56,100,3,3.33,50,96,3,1.67,29,96,2,1.67,31,100,2,1.67,50,100,3,1.67,12,100,2,15,7,100,1,2.5,13,100,2,2.5,,,,,,,,,52.8,99,3,10,95,5,10,83.7,4,10,2.4,4,5,80.1,5,5,83.3,4,5,41.2,5,5,97.7,5,10,Moderately Organized,3,5,98.5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400032,CICS - ELLISON HS,Charter,2.4,Level 2,Not Applicable,6,95,1,3.33,68,95,3,1.67,16,95,2,1.67,35,95,2,1.67,75,95,4,1.67,5,95,1,17.5,5,95,1,2.5,,,,,,,,,,,,,6,93,1,10,77.2,3,10,75.2,4,10,3.3,4,5,65.3,4,5,67.4,3,5,3,1,5,89.7,3,10,Not Yet Organized,1,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400034,CICS - NORTHTOWN HS,Charter,3.8,Level 1,Not Applicable,84,100,4,3.33,32,99,2,1.67,29,99,2,1.67,19,100,2,1.67,63,100,3,1.67,42,100,3,15,,,,,44,100,3,2.5,,,,,35,100,3,2.5,34.1,100,2,10,98.7,5,10,88.9,5,10,1.2,5,5,81.5,5,5,76.3,4,5,25.2,3,5,94.6,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400051,NOBLE - NOBLE HS,Charter,4.6,Level 1+,Not Applicable,96,99,5,3.33,50,100,3,1.67,28,100,2,1.67,2,100,1,1.67,20,100,2,1.67,99,100,5,17.5,,,,,99,100,5,2.5,,,,,,,,,54.9,100,3,10,92.2,5,10,92.8,5,10,0.9,5,5,86.5,5,5,79.4,4,5,55.2,5,5,95.2,5,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400053,NOBLE - GOLDER HS,Charter,4.1,Level 1+,Not Applicable,99,97,5,3.33,72,99,4,1.67,12,99,2,1.67,2,100,1,1.67,50,100,3,1.67,90,100,5,17.5,,,,,88,100,5,2.5,,,,,,,,,54.4,99,3,10,88.1,4,10,83.8,4,10,2.4,4,5,91,5,5,74.4,3,5,42.6,5,5,92.2,4,10,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400054,NOBLE - PRITZKER HS,Charter,4.6,Level 1+,Not Applicable,99,98,5,3.33,73,100,4,1.67,29,100,2,1.67,7,100,1,1.67,68,100,3,1.67,99,100,5,17.5,,,,,99,100,5,2.5,,,,,,,,,65.7,99,4,10,91.9,5,10,85.2,5,10,0.8,5,5,86.8,5,5,79,4,5,36.2,4,5,95.1,5,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400055,NOBLE - RAUNER HS,Charter,4.4,Level 1+,Not Applicable,99,97,5,3.33,70,100,4,1.67,28,100,2,1.67,50,100,3,1.67,67,100,3,1.67,94,100,5,17.5,,,,,96,100,5,2.5,,,,,,,,,49.6,99,3,10,89.6,4,10,91.3,5,10,0.9,5,5,80.6,5,5,80,4,5,44.6,5,5,93.7,4,10,Well Organized,5,5,99.6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400056,NOBLE - ROWE CLARK HS,Charter,3.6,Level 1,Not Applicable,77,98,4,3.33,80,99,4,1.67,31,99,2,1.67,9,100,1,1.67,65,100,3,1.67,84,100,4,17.5,75,100,5,2.5,,,,,,,,,,,,,29,99,2,10,89.4,4,10,69.6,3,10,3.8,4,5,74.6,4,5,70.9,3,5,17.5,2,5,91.3,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
