SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400009,GLOBAL CITIZENSHIP,Charter,3.3,Level 2+,Not Applicable,56,99,3,15,42,100,3,15,51.6,100,3,10,.,.,.,.,54,99,4,1.25,36,99,3,1.25,.,.,.,.,.,.,.,.,40,100,3,1.25,10,100,2,1.25,.,.,.,.,61,99,3,5,39,100,2,5,14,100,2,2.5,9,100,1,2.5,20.4,100,1,5,95.1,4,20,Well Organized,5,10,100,5,5,
400011,LOCKE A,Charter,3.2,Level 2+,Not Applicable,64,100,3,23.75,65,100,3,23.75,55.3,100,3,10,64,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,65,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,72,100,4,5,65,100,3,5,61,100,3,2.5,62,100,3,2.5,.,.,.,.,94.6,3,20,Not Enough Data,.,.,99.9,5,5,
400017,ASPIRA - HAUGAN,Charter,3.7,Level 1,Not Applicable,50,100,3,15,47,100,3,15,52,100,3,10,.,.,.,.,48,100,3,1.25,36,100,3,1.25,.,.,.,.,.,.,.,.,47,100,3,1.25,25,100,2,1.25,.,.,.,.,51,100,3,7.5,34,100,2,7.5,.,.,.,.,.,.,.,.,47.2,99,4,5,96.4,5,20,Well Organized,5,10,99.5,5,5,
400021,CATALYST - CIRCLE ROCK,Charter,3.4,Level 2+,Not Applicable,50,100,3,17.5,58,100,3,17.5,52.9,100,3,10,46,100,3,1.25,.,.,.,.,.,.,.,.,79,100,5,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,73,100,5,1.25,50,100,3,5,35,100,2,5,39,100,2,2.5,46,100,3,2.5,.,.,.,.,95.6,4,20,Organized,4,10,99.9,5,5,
400023,CICS - AVALON/SOUTH SHORE,Charter,3.2,Level 2+,Not Applicable,66,100,3,17.5,39,100,2,17.5,55.7,100,3,10,66,100,4,1.25,.,.,.,.,.,.,.,.,78,100,5,1.25,39,100,3,1.25,.,.,.,.,.,.,.,.,3,100,1,1.25,79,100,4,5,61,100,3,5,76,100,4,2.5,89,97,4,2.5,.,.,.,.,95.1,4,20,Moderately Organized,3,10,99.6,5,5,
400024,CICS - BASIL,Charter,3.3,Level 2+,Not Applicable,78,100,4,13.75,77,99,4,13.75,62.4,99,4,10,70,100,5,1.25,98,100,5,1.25,.,.,.,.,46,100,3,1.25,72,99,5,1.25,97,100,5,1.25,.,.,.,.,27,99,2,1.25,56,100,3,5,56,99,3,5,77,99,4,2.5,56,98,3,2.5,42.5,100,3,5,93.9,2,20,Partially Organized,2,10,99.5,5,5,
400025,CICS - BUCKTOWN,Charter,4.1,Level 1+,Not Applicable,78,100,4,13.75,85,100,4,13.75,63.2,100,4,10,66,100,4,1.25,75,100,5,1.25,.,.,.,.,6,100,1,1.25,82,100,5,1.25,83,100,5,1.25,.,.,.,.,55,100,4,1.25,84,100,4,5,81,100,4,5,94,100,5,2.5,93,100,5,2.5,21.1,100,1,5,95.2,4,20,Well Organized,5,10,100,5,5,
400026,CICS - LOOMIS,Charter,.,Inability to Rate,Not Applicable,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,100,2,.,12,100,2,.,.,.,.,.,92.4,2,.,Partially Organized,2,.,99.8,5,.,
400027,CICS - IRVING PARK,Charter,4.4,Level 1+,Not Applicable,93,100,5,15,83,100,4,15,70,100,5,10,.,.,.,.,91,100,5,1.25,.,.,.,.,99,100,5,1.25,.,.,.,.,77,100,5,1.25,.,.,.,.,76,100,5,1.25,83,100,4,5,75,100,4,5,79,100,4,2.5,69,100,3,2.5,35.8,100,3,5,95.6,4,20,Well Organized,5,10,100,5,5,
