CPS Behavior Data,,,Misconducts,,,,"Suspensions
(includes ISS & OSS)",,"In School Suspensions 
(ISS)",,,,,,"Out of School Suspensions 
(OSS)",,,,,,"Police Notifications
",,,,
Category,School Year,Time Period1,# of Misconducts2,# of Group 1-2 (minor) Misconducts3,# of Group 3-4 (moderate) Misconducts4,# of Group 5-6 (major) Misconducts5,# of Suspensions6,% of Misconducts Resulting in a Suspension,# of ISS,% of Misconducts Resulting in ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification
District Wide,2011-2012,EOY,132746,56328,66107,10311,102416,77.2,34263,25.8,12.37,16619,6,1.39,68153,51.3,24.6,35605,12.9,2.89,5166,3.9,1.86,4244,1.5
District Wide,2012-2013,EOY,134183,49135,72816,12232,106850,79.6,37231,27.7,13,18512,6.5,1.36,69619,51.9,24.3,35002,12.2,2.48,5200,3.9,1.82,4243,1.5
District Wide,2013-2014,S1,61673,28047,28808,4818,44385,72,20227,32.8,6.38,11263,3.6,1.24,25229,40.9,7.96,16235,5.1,2.47,2143,3.5,0.68,1864,0.6
District Wide,2013-2014,EOY,120557,52017,58532,10008,87764,72.8,38056,31.6,12.77,17597,5.9,1.31,49708,41.2,16.69,26436,8.9,2.46,4342,3.6,1.46,3543,1.2
District Wide,2014-2015,S1,60032,30570,25233,4229,26920,44.8,17676,29.4,5.55,9519,3,1.25,9926,16.5,3.12,7019,2.2,2.41,1958,3.3,0.61,1671,0.5
District Wide,2014-2015,EOY,132548,62462,60322,9764,63035,47.6,38672,29.2,13.02,16609,5.6,1.25,24363,18.4,8.21,14364,4.8,2.33,4210,3.2,1.42,3347,1.1
District Wide,2015-2016,S1,60089,29011,26526,4552,26318,43.8,16749,27.9,5.24,8630,2.7,1.21,10177,16.9,3.18,7353,2.3,2.29,1549,2.6,0.48,1340,0.4
District Wide,2015-2016,EOY,122073,57237,55143,9693,57325,47,34178,28,12.19,15173,5.4,1.23,23147,19,8.26,14059,5,2.26,3253,2.7,1.16,2637,0.9
District Wide,2016-2017,S1,51179,28729,18729,3721,16848,32.9,10345,20.2,3.3,6624,2.1,1.24,7039,13.8,2.25,5318,1.7,2.05,1325,2.6,0.42,1171,0.4
District Wide,2016-2017,EOY,100455,52601,40058,7796,38207,38,21580,21.5,7.78,12228,4.4,1.26,16627,16.6,6,10767,3.9,2.04,2681,2.7,0.97,2215,0.8
